,train_iou_score,train_accuracy,train_fscore,train_precision,train_recall,train_loss,val_iou_score,val_accuracy,val_fscore,val_precision,val_recall,val_loss
0,0.8998770644155363,0.9722532008524829,0.9456914135238575,0.9331724867037959,0.9600711327821086,0.16628351172707728,0.9016776287555697,0.9789458036422731,0.9480162143707275,0.9608232080936432,0.9355867242813111,0.11595529198646548
1,0.9397938248507659,0.9844120585530021,0.9689077394349241,0.9686882688586876,0.969201001009547,0.07135988267740806,0.9094028639793396,0.9804040086269377,0.9523394989967346,0.9484587037563325,0.9562774062156676,0.09621698021888732
2,0.9501395022361199,0.9871900919684793,0.9743941149914773,0.9745616115125498,0.9742708167336638,0.055053766807517876,0.9319044291973113,0.9854097223281858,0.964626420736313,0.9612819671630859,0.9680210554599763,0.0716569709777832
3,0.9560851732591037,0.9887376954979769,0.9775265755509972,0.9778196224592685,0.9772727352037168,0.047089348311412274,0.93962939620018,0.9873030626773835,0.9687736654281617,0.9774769473075865,0.9602525794506074,0.062474281787872295
4,0.9599683744865553,0.9897611855265487,0.979553346347092,0.9798539231594342,0.9792801373285754,0.04225339746116698,0.9451995754241945,0.9883689165115357,0.9717510354518892,0.9688686728477477,0.9746625757217406,0.056541914939880374
5,0.9619660268451338,0.9903096517823392,0.9805907218677357,0.9808120179295833,0.9803931190256482,0.03968871192525803,0.9484173107147217,0.9891937923431396,0.9734525716304779,0.9792658925056458,0.9677358698844911,0.05298196315765381
6,0.9651159012228023,0.9911082793297927,0.982232055419071,0.9825214535968936,0.9819628685936894,0.036193853034112676,0.9471810281276702,0.9887139880657196,0.9728160059452059,0.9664372467994691,0.9792936050891877,0.05389213085174561
7,0.9657425111098993,0.991267718468095,0.9825571980093946,0.9827189750241161,0.9824135678453856,0.03530885223159217,0.9515236020088195,0.9897806227207182,0.9750945842266082,0.9740889012813568,0.9761132884025574,0.0493164598941803
8,0.9679755118855258,0.9918376075892814,0.9837152648689148,0.9838989853560178,0.9835510824557238,0.0328973439104276,0.9508908474445342,0.9897249627113343,0.9747607338428498,0.9809314358234408,0.9686859214305877,0.049894590377807614
9,0.969398982542798,0.992221804788537,0.9844482351365241,0.9845544126697052,0.9843600644802387,0.0313488121020764,0.9501167035102844,0.9894923746585845,0.9743637800216676,0.9746735954284668,0.9740700948238372,0.05055007100105287
10,0.973769050941132,0.9933343973374902,0.9867015512366045,0.986784867774275,0.9866264576003662,0.0269396073537363,0.9607254755496979,0.9917774772644044,0.9799236762523652,0.9817661786079406,0.978099765777588,0.039922473430633536
11,0.9750689097813201,0.9936732191190982,0.9873692541194139,0.9874420921904102,0.9873083817928953,0.025590501184152757,0.959790756702423,0.9915658593177794,0.9794446063041689,0.978971972465515,0.9799241793155672,0.04080646872520447
12,0.9762815555235501,0.9939814411607901,0.9879920433338419,0.9880580518179971,0.9879325123359095,0.024322973456896633,0.9601119327545168,0.9916145265102387,0.9796029889583588,0.9773051273822786,0.981921179294586,0.04037908315658569
13,0.9789778914367943,0.9946707909866086,0.9893724329788279,0.9893444418010862,0.9894059384078305,0.02161688508844018,0.9631929302215577,0.992314488887787,0.9812157714366916,0.9838426542282105,0.9786099576950075,0.0373172628879547
14,0.9794512904975047,0.9947921966849118,0.9896141625287233,0.9896173977612849,0.9896157340597092,0.021105501137879252,0.9629819571971893,0.9922460222244261,0.9811029505729675,0.9805193090438842,0.9816920995712279,0.037453075647354124
15,0.9802368455064623,0.9949900830598701,0.990016077245985,0.9900100438815909,0.9900279642645281,0.02028923629220564,0.9621946585178375,0.992047941684723,0.9806901371479035,0.97754336476326,0.9838631117343904,0.03821499228477477
16,0.9820836937815927,0.9954578030975839,0.9909578482608742,0.9909250963301893,0.9909938393081342,0.0184433823241327,0.9666557013988497,0.993044501543045,0.9830099856853484,0.98391637802124,0.9821108067035675,0.033780819177627555
17,0.9824685340835934,0.9955612111808658,0.9911529235074994,0.9911093480306157,0.9912017553970032,0.01803789715420335,0.966774209737778,0.9930702996253967,0.9830731141567232,0.9842666900157929,0.9818871438503264,0.03363912105560304
18,0.9829373513546803,0.995684201257271,0.9913920204442241,0.9913434885199507,0.991444581881502,0.017553748642292828,0.966729655265808,0.9930468595027924,0.9830492258071901,0.9830090236663819,0.9830927348136903,0.0336700737476349
19,0.9831185676997759,0.9957289824210913,0.9914845931798894,0.9914235704226003,0.9915490358096909,0.01734426879046255,0.9663683235645294,0.992992560863495,0.9828620088100433,0.9852134156227111,0.9805278623104092,0.03399592638015748
