,train_iou_score,train_accuracy,train_fscore,train_precision,train_recall,train_loss,val_iou_score,val_accuracy,val_fscore,val_precision,val_recall,val_loss
0,0.8463522906426585,0.9540709122467379,0.9134920551563936,0.8865714467761818,0.945242602776103,0.21307947109543104,0.8388834058398933,0.9633081555366516,0.9116796901528265,0.8995270661904778,0.9242878766127038,0.17770252345313486
1,0.8874277179170199,0.9699597843056597,0.9401559163726574,0.9352812343219947,0.9452798963636949,0.12158844329012247,0.8544147249678491,0.9673848681046929,0.9208860095118133,0.9151321532021107,0.9268113173229592,0.15067260030289772
2,0.8962479511409631,0.9725964278139286,0.9450879320371802,0.942532508364909,0.9477977235972774,0.10808305137002948,0.8646967251535872,0.9702275135147737,0.9268743681236055,0.9322949824198872,0.9215934788677053,0.13837428579867722
3,0.9020236588610034,0.9742391920549016,0.9483042601528595,0.9471363433605733,0.9496110666236609,0.1007879570570177,0.8695667570745442,0.9712792383113379,0.9296995552492814,0.9319233264721615,0.9275644681823088,0.1324793209492321
4,0.9062679922518084,0.9754050569233669,0.9506765710493313,0.949770707800175,0.9516870979669836,0.09575381765432407,0.8720223198474292,0.9722758095029375,0.9311394414431612,0.9467221926635419,0.9162031000768635,0.12964474651175484
5,0.9099046646400428,0.9764045058323918,0.9526898276367449,0.9522659642892624,0.9531962045854943,0.09166706537407039,0.8766176473926488,0.9730497959633948,0.9337925373668402,0.9398941624332481,0.9278465920770673,0.12457372940761943
6,0.9120486968453,0.9770271070366774,0.9538691076213553,0.9534722938220259,0.9543416003212206,0.08920631214532672,0.879642214573605,0.9737721958630522,0.9355223867255197,0.9416039779152667,0.9295800193934373,0.12125070330122824
7,0.9132217071728616,0.977405347151848,0.9544984476996387,0.9541634639591353,0.9549129240984676,0.08783260462789311,0.8804274931759901,0.9738982622052581,0.9360006770617524,0.9398018852086133,0.9323072693717314,0.12038721920738754
8,0.9154810408577196,0.9779504680591793,0.9557571796318698,0.9556969665186628,0.9558846061158722,0.08542062950217777,0.8841078004366913,0.9748359876619256,0.9380864140013575,0.9451347547517693,0.9312238877927753,0.11653041671699202
9,0.9169322911995719,0.9783753285057281,0.9565438421511604,0.9566005860861464,0.9565523094554702,0.08385253871176168,0.8868881321289168,0.9752228772136526,0.9396750129444497,0.9372115336673361,0.9421979130153927,0.11368354861165435
10,0.9180250145925537,0.9786761363416968,0.9571435146699228,0.9572362478059153,0.957117400319689,0.0826648270186109,0.8880973584215407,0.9756466905835649,0.9403627179038353,0.943260325512416,0.9375337479819719,0.11238298449717773
11,0.9191891754571286,0.9790278629329698,0.9577522160919248,0.9577697713821864,0.9577929386950624,0.08143975271234999,0.8884605228061405,0.9757401783701399,0.9405733137063577,0.9440770249971203,0.9371487934824444,0.11200947324994584
12,0.9204556025473328,0.9793491456429306,0.9584671291286188,0.9585556542393203,0.9584430603346357,0.08010932829250605,0.8898646747562245,0.9760619385141721,0.941380478966404,0.9449395545771424,0.9379001503259362,0.11055873733171274
13,0.92157584376594,0.9796081332525728,0.9590842386678297,0.959175923451025,0.9590455229979684,0.07894500270616359,0.8907786456631941,0.9762464190872622,0.9419046161879957,0.9444052358748205,0.9395025985341677,0.10957779431007279
14,0.9219036500007176,0.9797636032522039,0.9592502558711534,0.9593914404850709,0.9591663922403402,0.07858014054557286,0.8894190385308065,0.9759397657824235,0.9411136692678422,0.9437181194063645,0.9385739237489835,0.11090972138122773
15,0.9231637068053683,0.9800559193574396,0.9599488028920471,0.9600262174255587,0.9599236899207227,0.07728681484997374,0.8913884272038097,0.9764026571327531,0.9422198164630942,0.9449402203022594,0.9395636857395439,0.10892122480231271
16,0.923902403869896,0.9802770293113855,0.9603439992238256,0.9605300722940586,0.9602146616332788,0.07651677043968248,0.8936835040508865,0.9769759874948313,0.9435457763537556,0.948834633323508,0.9383758146997908,0.10665719609865
17,0.9246218702421504,0.9804537871464332,0.9607356124918018,0.9607876209369263,0.9607315578101608,0.07577896702727999,0.8939900994300845,0.9768506783834645,0.9437249059408485,0.9411310822191372,0.9464006256049788,0.10629854655601609
18,0.9252865782134795,0.9806505923930904,0.9610995278675798,0.9610455646823873,0.9612019579798875,0.07510435027959259,0.8935623437585963,0.9769608017424461,0.9434763570906409,0.9490232736292021,0.9380488194210428,0.10671529299776318
19,0.9264692576461828,0.9809371708988512,0.9617476474800376,0.961877223489163,0.961664897130375,0.07390659567353602,0.8946323193294902,0.9771269433934924,0.9440802537219626,0.9462716638202399,0.9419603431728523,0.10566149043365265
