,train_iou_score,train_accuracy,train_fscore,train_loss,val_iou_score,val_accuracy,val_fscore,val_loss,parameters,freeze_encoder,inference_time
0,0.8664542500359509,0.9510036706924436,0.9184274647671448,0.4986679135606841,0.9164961395056351,0.9736159728920979,0.9564070468363555,0.38495343923568726,24430097,False,0.011628715880215168
1,0.9364710771120512,0.9794643578621057,0.967166463342997,0.3083685470315125,0.9340417799742324,0.9797273641047269,0.9658823272456294,0.260107335836991,24430097,False,0.011628715880215168
2,0.9440327487312833,0.9820421670491877,0.9711975334928588,0.21126910814872157,0.93953516949778,0.9814837238062982,0.9688113668690556,0.1849345953568168,24430097,False,0.011628715880215168
3,0.9482610907692176,0.9834409648409255,0.9734337461682468,0.15617207323129356,0.9442731634430264,0.9831091269202854,0.9713275043860726,0.14211398881414664,24430097,False,0.011628715880215168
4,0.9516168964596895,0.9845607125988374,0.9752015041617246,0.12279393867804447,0.9444501814634904,0.9833005640817726,0.9714172741641167,0.1198493656904801,24430097,False,0.011628715880215168
5,0.9542666702316356,0.9854348112757392,0.9765900018123478,0.10098777310206339,0.9450097809667171,0.9835139642591061,0.9717148309168607,0.10333465493243672,24430097,False,0.011628715880215168
6,0.9562923999933097,0.986076564169847,0.9776518390728877,0.08622214484673284,0.9483473041783208,0.9844222379767376,0.9734767157098522,0.08873241880665655,24430097,False,0.011628715880215168
7,0.9600141203174225,0.9873191038003335,0.979591916960019,0.07384232546274476,0.9480586103771044,0.9843618481055549,0.9733265897502071,0.08204143980275028,24430097,False,0.011628715880215168
8,0.9633909824949045,0.9883848887223463,0.9813499101079428,0.06415312851850799,0.9489334614380546,0.9846353297648224,0.9737871211508046,0.07516157367955086,24430097,False,0.011628715880215168
9,0.9650756183725135,0.9889316289470743,0.9822242815907184,0.05767873731943279,0.9479776543119679,0.9842340350151062,0.9732846488123355,0.07170585704886397,24430097,False,0.011628715880215168
10,0.9671216773299068,0.9895832762122158,0.9832831856149892,0.0519314924111733,0.9494695818942526,0.9847425585207733,0.974070774472278,0.06762637262759003,24430097,False,0.011628715880215168
11,0.968102185198894,0.9898976179269644,0.9837895133174381,0.04806020225469882,0.9505027403002199,0.98511752097503,0.974612666212994,0.06406386779702229,24430097,False,0.011628715880215168
12,0.9703616849504981,0.9906275931459206,0.9849558369471477,0.04353195772721216,0.9503203241721444,0.9850099034931349,0.9745163580645687,0.06192904969920283,24430097,False,0.011628715880215168
13,0.972165482548567,0.9912097001304991,0.9858842331629533,0.03991050043931376,0.9489634684894396,0.9845502065575643,0.9738006539966749,0.06194251257440319,24430097,False,0.011628715880215168
14,0.9732080537539263,0.991537098701184,0.9864206239581107,0.03732997752152956,0.9509659124457318,0.9852196107739988,0.9748574598975803,0.05853182336558467,24430097,False,0.011628715880215168
15,0.974098609617123,0.9918301879213405,0.9868774087383196,0.035182778651897735,0.9517148759054102,0.9855606452278469,0.9752515139787094,0.056736430396204414,24430097,False,0.011628715880215168
16,0.9746929229452063,0.9920234502508088,0.9871824154487027,0.033496101888326496,0.951036582822385,0.9852168274962385,0.9748933729918107,0.05622198270714801,24430097,False,0.011628715880215168
17,0.9768034494840183,0.9926900313450742,0.9882641245539368,0.030500360979483675,0.9524107497671376,0.9856693926064866,0.9756153796030128,0.054089823494786804,24430097,False,0.011628715880215168
18,0.9778924412452258,0.9930417938874317,0.9888208605922187,0.028662153161489044,0.9516000825425854,0.9854904879694398,0.9751919326574905,0.05435283546862393,24430097,False,0.011628715880215168
19,0.9781080994468472,0.9931166515900538,0.9889312976827985,0.027763036581186142,0.9529467121414515,0.9858219753140989,0.9758974702461908,0.05259178254915321,24430097,False,0.011628715880215168
