,train_iou_score,train_accuracy,train_fscore,train_precision,train_recall,train_loss,val_iou_score,val_accuracy,val_fscore,val_precision,val_recall,val_loss,parameters,freeze_encoder,inference_time
0,0.8473826801788833,0.9527938164068843,0.9142730775959262,0.8852965000695843,0.9518703508950426,0.2165622486619051,0.8439341072113282,0.9650281879209703,0.9147185500591032,0.9143393962613997,0.9152177303068102,0.17364519065426243,22434321,True,0.0076667814748361705
1,0.8940626759089539,0.9718167295675717,0.9439245409860397,0.9401257563688474,0.947958531026133,0.11674896115530463,0.8586154022524431,0.9685774916602716,0.9233909499260686,0.922670935430834,0.9242085179974957,0.14716794702314565,22434321,True,0.0076667814748361705
2,0.9033339269653354,0.9745461194214222,0.9490698857871233,0.9477831282931012,0.9504816413881308,0.1018910329184217,0.865769709310224,0.9701743693121018,0.9275543785864311,0.923128503945566,0.9321116535894333,0.13772506098593434,22434321,True,0.0076667814748361705
3,0.9098391258167118,0.9763138351555101,0.9526727027549061,0.9521688566895904,0.9532513477520373,0.09340148805855285,0.8713662287881297,0.9716798874639697,0.9308165186835874,0.9319672219214902,0.9297631623283511,0.1309867289758498,22434321,True,0.0076667814748361705
4,0.9134066665100915,0.9773636356384341,0.9546326231622028,0.9548287052429756,0.9545126318453786,0.0889169683676206,0.8746660717072028,0.9723847941044838,0.9327042891133217,0.9314266856639617,0.9340655265315885,0.12705851178015437,22434321,True,0.0076667814748361705
5,0.9163398485862183,0.9782123772319196,0.9562271758167445,0.9564248843040155,0.9560899951892772,0.08545635649579797,0.8776676077996532,0.9731518270507936,0.9344223506989017,0.9346865579005209,0.9342251929544633,0.12364544791560021,22434321,True,0.0076667814748361705
6,0.919439326665683,0.9789804567793801,0.957929935507879,0.9583331498211032,0.9575867247963712,0.08201661281929702,0.8781056923251,0.9735314240378719,0.934675109001898,0.9441378481926458,0.9255019753210004,0.12301387709956017,22434321,True,0.0076667814748361705
7,0.9217416921216165,0.9796530280657907,0.9591783737849612,0.9596095095894381,0.9587960120193472,0.07950882980962079,0.8796538825958005,0.973542501849513,0.935579362415498,0.9341231228843813,0.9371539796552351,0.121294270600042,22434321,True,0.0076667814748361705
8,0.9236449815467267,0.9801444177159331,0.9602265158492725,0.9607185941182063,0.9597836594304484,0.07742975505893833,0.8826710178006079,0.9742979666879101,0.937297615312761,0.9370747487391196,0.9375961826693626,0.11813690777747855,22434321,True,0.0076667814748361705
9,0.9251911838451227,0.9805818035272896,0.9610570807734093,0.9615583119984848,0.9606063283517025,0.07575039538687357,0.8819571425837857,0.9743942579915447,0.9368687108639747,0.9446736420354535,0.9293060504621073,0.11871966719627378,22434321,True,0.0076667814748361705
10,0.9271505453543575,0.9811107627375572,0.962116199767661,0.9626883902626188,0.9615931337725425,0.07370566019792126,0.8853614685996885,0.9749803533477172,0.9388245026911459,0.9393606060935603,0.9383793155993184,0.115260059795072,22434321,True,0.0076667814748361705
11,0.9282087948852644,0.9814191096292469,0.9626872240899803,0.9631014999024611,0.9623197637244552,0.07256189018547667,0.8843447854441983,0.9750193578581656,0.9382628231279312,0.9495710009528742,0.9273076355457308,0.11621452435370414,22434321,True,0.0076667814748361705
12,0.9297963164612383,0.9818456782128865,0.9635450892553542,0.9640033549679546,0.9631294034764863,0.07091921508192767,0.8874001714491074,0.9754881599257069,0.939994038112702,0.9423722663233356,0.9377136932265374,0.11313620209693906,22434321,True,0.0076667814748361705
13,0.9311328501644014,0.9821888655125499,0.9642678359467418,0.9646464802459144,0.9639268399240496,0.06952162101894681,0.8848233665189433,0.9746595563427096,0.9385424438984166,0.9331301479570326,0.9441020930967023,0.11564948770307723,22434321,True,0.0076667814748361705
14,0.9325416252942742,0.9825442089346464,0.965029862099038,0.9655500212031044,0.9645517000215564,0.06807018162492286,0.8864386437400694,0.9751141821184465,0.9394415251670343,0.9371778916928076,0.9418080997082494,0.11399947539452586,22434321,True,0.0076667814748361705
15,0.9351893041081315,0.9832646346283341,0.9664454799376901,0.9668465704621678,0.9660786318635647,0.06540400506499297,0.8881847060495808,0.9757366766852718,0.9404397914486547,0.9452701124452777,0.9357523466310195,0.1122430851382594,22434321,True,0.0076667814748361705
16,0.9361749268724835,0.9835114382311912,0.9669771680612123,0.9674286419499613,0.9665536827935963,0.06439817835668281,0.8894472477897523,0.9759239938951307,0.94116434839464,0.9428874936796002,0.9395154599220523,0.11100034175380584,22434321,True,0.0076667814748361705
17,0.9370544874118656,0.9837365868335254,0.9674519394824876,0.9679013365256284,0.9670334484629741,0.06350105988955446,0.8904155127463802,0.9760143353093057,0.9416971908461663,0.9378958902051372,0.9455835944221865,0.11003458884454542,22434321,True,0.0076667814748361705
18,0.9377105013879837,0.9839233168380307,0.9678034856467543,0.968212128402236,0.9674252517715493,0.06282699633695804,0.8906161073715455,0.976245084116536,0.941811817307626,0.9446848871246462,0.9390174669604151,0.10976744467212307,22434321,True,0.0076667814748361705
19,0.9380729761056769,0.9840654851439494,0.9679837159976683,0.9683139260880703,0.9676846007784772,0.062445949218077286,0.8891356837364935,0.9758352791109389,0.9409778070065283,0.9412823300207814,0.9407365264431123,0.11127151885340288,22434321,True,0.0076667814748361705
