                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     25,                0.49063,                0.45517,                0.62878,                0.77912,                 0.8522,                  0.804,                0.90906,                0.80223,                 0.8522,                  0.804,                0.90835,                0.55443,                  0.437,                0.40514,                0.63662,                0.77484,              0.0015446,              0.0015446,              0.0015446
                     26,                0.49684,                0.46791,                0.63788,                0.77698,                0.81703,                0.78528,                0.89861,                0.77953,                0.81703,                0.78528,                0.89861,                0.57346,                0.48278,                0.45145,                0.67531,                0.77817,              0.0015248,              0.0015248,              0.0015248
                     27,                0.50448,                 0.4872,                0.63646,                0.77733,                0.84037,                0.80541,                0.90991,                0.79746,                0.83928,                0.80437,                0.90775,                0.56125,                0.47397,                0.44629,                0.65604,                0.77704,               0.001505,               0.001505,               0.001505
                     28,                0.50067,                 0.4514,                0.62404,                0.77443,                0.80523,                 0.8303,                0.90692,                0.80132,                 0.8022,                0.82718,                0.90208,                0.54972,                0.45884,                  0.416,                0.65129,                0.77777,              0.0014852,              0.0014852,              0.0014852
                     29,                0.47654,                0.42739,                0.60683,                0.77489,                0.84244,                0.78668,                0.90439,                 0.7961,                0.84244,                0.78668,                0.90419,                0.55548,                0.44412,                0.46163,                0.65038,                0.77725,              0.0014654,              0.0014654,              0.0014654
                     30,                0.47999,                 0.4758,                0.62076,                0.77591,                0.84901,                0.77627,                0.90373,                0.80045,                0.84901,                0.77627,                0.90354,                0.55627,                0.44833,                 0.4329,                0.63751,                0.77433,              0.0014456,              0.0014456,              0.0014456
                     31,                0.46852,                0.44748,                0.60418,                0.77506,                0.83033,                0.79444,                0.90653,                0.80523,                0.83033,                0.79444,                0.90596,                0.57456,                0.41724,                0.45008,                0.63605,                0.77591,              0.0014258,              0.0014258,              0.0014258
                     32,                0.45986,                0.44895,                0.60535,                0.77395,                0.84235,                0.80645,                0.91256,                0.80911,                0.84235,                0.80645,                0.91242,                0.58341,                0.41103,                0.38871,                0.60386,                0.77325,               0.001406,               0.001406,               0.001406
                     33,                0.45406,                0.42154,                0.59686,                0.77299,                0.83454,                0.80824,                0.91386,                0.81505,                0.83454,                0.80824,                0.91375,                0.55565,                 0.3988,                0.40416,                0.60532,                0.77497,              0.0013862,              0.0013862,              0.0013862
                     34,                0.44866,                 0.4247,                0.59699,                0.77419,                  0.826,                0.81894,                 0.9121,                0.81246,                0.82651,                0.81894,                 0.9115,                0.56253,                0.40586,                0.38911,                0.62118,                 0.7753,              0.0013664,              0.0013664,              0.0013664
                     35,                0.44155,                0.40894,                0.59282,                  0.774,                0.85625,                 0.7934,                0.90873,                0.80862,                0.85625,                 0.7934,                0.90778,                0.56705,                 0.4057,                0.41674,                0.62538,                0.77668,              0.0013466,              0.0013466,              0.0013466
                     36,                  0.462,                0.45985,                0.59514,                0.77306,                0.83786,                0.79047,                0.90758,                0.81418,                0.83786,                0.79047,                0.90694,                0.56633,                0.39611,                0.42495,                0.62078,                0.77412,              0.0013268,              0.0013268,              0.0013268
