,train_iou_score,train_accuracy,train_fscore,train_loss,val_iou_score,val_accuracy,val_fscore,val_loss,parameters,freeze_encoder,inference_time
0,0.9109811337049037,0.9697989616932731,0.9504822872922006,0.10854285956987778,0.9444279816915404,0.9833099009855737,0.9713948537718574,0.048750382900800346,8642451,False,0.012756638097926043
1,0.9493987467997245,0.9838832616806032,0.9740143912107877,0.04573858633762123,0.9561174669355719,0.986874871658829,0.9775507450103761,0.03565688107935888,8642451,False,0.012756638097926043
2,0.957879038784793,0.9866654216993807,0.9784687041737541,0.035262106267041744,0.9607318864678438,0.9883709606134667,0.9799606260263696,0.030023963348764292,8642451,False,0.012756638097926043
3,0.9634126906115641,0.9884664234257147,0.9813505066987361,0.02941213750814295,0.9644339703164008,0.989473562195616,0.9818862260512589,0.026273429218047067,8642451,False,0.012756638097926043
4,0.9674542394143266,0.9897424057437787,0.9834484856996575,0.02552068591990732,0.9671258206637399,0.9902664805358312,0.9832818980486888,0.023870200094468184,8642451,False,0.012756638097926043
5,0.9695140903963702,0.9903988005227126,0.9845142651302549,0.023425736561978713,0.9684448489603008,0.9906694259283676,0.9839625853412557,0.022416415641892628,8642451,False,0.012756638097926043
6,0.972109846240806,0.9912357836587654,0.9858510112662692,0.021218462741961045,0.9719624890471404,0.991710180381559,0.9857754493659396,0.01984986460785258,8642451,False,0.012756638097926043
7,0.9737188407067977,0.9917294602513819,0.9866797811815428,0.019815660190912722,0.9719632492875155,0.9917374174549894,0.9857760150477571,0.019781662590520558,8642451,False,0.012756638097926043
8,0.9748169647599865,0.9920905150130204,0.98724287498945,0.018831103903759715,0.9730302466536468,0.9920322029095777,0.986324279938104,0.019075939835945396,8642451,False,0.012756638097926043
9,0.9759307154551708,0.992444348634536,0.9878146319209781,0.017835256581245365,0.9733000802543927,0.9921106482451816,0.9864652392999183,0.018702424886935163,8642451,False,0.012756638097926043
10,0.9768122217645214,0.9927401502760884,0.9882656039054428,0.017068874800117935,0.9746551592394993,0.9925182652923296,0.9871597717393118,0.017829599930852084,8642451,False,0.012756638097926043
11,0.9778671636242249,0.9930689287484934,0.9888061212695292,0.016278119601901595,0.9750974785606814,0.9926535104805568,0.9873863391156465,0.01747193236677152,8642451,False,0.012756638097926043
12,0.978665388528273,0.9933189939255497,0.9892139160483454,0.015623778268445486,0.9756058330805795,0.9927861285659503,0.9876472252719808,0.017093311977695744,8642451,False,0.012756638097926043
13,0.9796135136273112,0.9936267247259865,0.9896985566765691,0.014905003854171005,0.976021446147055,0.9929344136759921,0.9878606143987404,0.01682412388892669,8642451,False,0.012756638097926043
14,0.9799380629132483,0.9937121329447215,0.9898646576135226,0.014607119463602368,0.9766450164453039,0.9931081061093313,0.9881801200362871,0.016545203057521916,8642451,False,0.012756638097926043
15,0.9802928402334078,0.993853700709642,0.9900445297173379,0.01426709220826502,0.9759790897369385,0.9929140412582542,0.9878386675186875,0.01694738845569345,8642451,False,0.012756638097926043
16,0.9810894069312509,0.9940826461404939,0.990452115256417,0.013727744554157793,0.9759113979789449,0.9929061711959117,0.9878048446943175,0.017046518325102775,8642451,False,0.012756638097926043
17,0.9826559925677887,0.9945776110912466,0.9912500955070911,0.012595052725662748,0.9775314544731719,0.9933664337644038,0.9886339228108245,0.016302468835042334,8642451,False,0.012756638097926043
18,0.9830016027434597,0.994696595179985,0.9914256444037208,0.012300799518948328,0.9768453622764012,0.9931872813206799,0.9882830100239448,0.01687105917283949,8642451,False,0.012756638097926043
19,0.9836600505158496,0.9948896997643315,0.9917610978481658,0.011833688294881309,0.9783630922155558,0.9936255688937207,0.9890591468451158,0.01567663403473935,8642451,False,0.012756638097926043
