,train_iou_score,train_accuracy,train_fscore,train_loss,val_iou_score,val_accuracy,val_fscore,val_loss,parameters,memory_used,freeze_encoder
0,0.2984040127350734,0.3615690561441275,0.458255375807102,0.7217288544544807,0.31921835301014095,0.4124530370418843,0.48281268374277997,0.701745691207739,4319859,5049942016,False
1,0.3390589829247732,0.45308794425084037,0.5048602687624786,0.6799082331932507,0.3959006271683253,0.5766985599811263,0.5659795025220282,0.6582391938337911,4319859,5049942016,False
2,0.40790297778753126,0.5874195190576406,0.5774329058252851,0.6432396517350124,0.47456578222604895,0.6924374286945051,0.6424168050289154,0.6235525917548399,4319859,5049942016,False
3,0.48547717069204027,0.6981296814405,0.6511776584845319,0.6111338620002452,0.5856324222225411,0.8040730953216553,0.7374962396346606,0.5862908237255536,4319859,5049942016,False
4,0.5812237193951241,0.7965316497362578,0.7327101941292101,0.5815565654864678,0.7096645419414228,0.8871956330079296,0.8292078822851184,0.5523345573590351,4319859,5049942016,False
5,0.7090073732229379,0.8840063076752883,0.8273729315170876,0.5449161563928313,0.8095597395530114,0.9354586326158963,0.8940159036562991,0.5156140889112765,4319859,5049942016,False
6,0.7984700031005418,0.9300296765107374,0.8861745125972306,0.510481310578493,0.840024450650582,0.9478387190745426,0.9123787238047675,0.48285206349996435,4319859,5049942016,False
7,0.8394784193772539,0.9475054832605215,0.9117890114967637,0.4801019968894811,0.8662761507126001,0.9579628155781672,0.9277307918438543,0.45166776845088374,4319859,5049942016,False
8,0.8578258454799651,0.9547612025187564,0.9225408217081656,0.46174794435501104,0.86348518041464,0.9567976089624258,0.9261415830025307,0.4584553642914846,4319859,5049942016,False
9,0.8615035999279758,0.9559044196055487,0.9248587913238084,0.45849751509152936,0.8688184435550982,0.9588721532088059,0.929224601158729,0.4553226209603822,4319859,5049942016,False
