,train_iou_score,train_accuracy,train_fscore,train_loss,val_iou_score,val_accuracy,val_fscore,val_loss,parameters,memory_used,freeze_encoder
0,0.13093117366616544,0.7037955247438874,0.2300800457596779,0.8123203538931332,0.21344512070600802,0.7396485438713659,0.3506723524859318,0.7820220612562618,4319859,1738539008,True
1,0.23771023664336938,0.7426264377740713,0.3822883900541525,0.767959352869254,0.32342097363792927,0.7734068632125858,0.48803426439945513,0.7381673122827824,4319859,1738539008,True
2,0.37154013921435064,0.7888898390990036,0.5394507629367024,0.7124449071975854,0.47551520741902864,0.8271956627185526,0.6440964283851477,0.6688705659829652,4319859,1738539008,True
3,0.5306695063526813,0.8449435050670917,0.6913801041933206,0.6388108065495123,0.6585036882987388,0.8910962343215943,0.7936946382889379,0.5756026506423951,4319859,1738539008,True
4,0.6868380984434715,0.8997149742566621,0.8134616911411285,0.5584042989290678,0.7743989790861424,0.930016829417302,0.8724108074720089,0.4999072368328388,4319859,1738539008,True
5,0.7783603221178051,0.930910137983469,0.8750186046728722,0.4890279105076425,0.8225518533816704,0.9460698182766255,0.9022230024521172,0.4373029653842634,4319859,1738539008,True
6,0.8272916067105073,0.9469078229023862,0.9051663119059342,0.4281292156531262,0.8454673806062111,0.9540255528229932,0.9158460325919665,0.38856325470484226,4319859,1738539008,True
7,0.8518456805210848,0.9547725640810454,0.9196738360019832,0.38028301642491247,0.8644293879087154,0.9598418474197389,0.9268756841237729,0.34461168027841116,4319859,1738539008,True
8,0.8652086957142903,0.9589899961764994,0.9274137788094007,0.3536946853766074,0.8697697967290877,0.9613922284199643,0.9299258945079951,0.34412496938155246,4319859,1738539008,True
9,0.8681892179525816,0.960183235315176,0.9292252304462286,0.35080701915117407,0.8690552871960857,0.960807681083679,0.9295305873338995,0.33836898436913126,4319859,1738539008,True
