,train_iou_score,train_accuracy,train_fscore,train_loss,val_iou_score,val_accuracy,val_fscore,val_loss,parameters,memory_used,freeze_encoder
0,0.7903197883413389,0.9244219614909246,0.8710590182588648,0.27536264520425063,0.8898139217725166,0.9664308291215165,0.9410866258236079,0.13097548255553612,4378513,5614075904,False
1,0.8900910501296704,0.9665038402263935,0.9412997284760842,0.11640375852584839,0.909866228699684,0.9733333679345937,0.9524059800001293,0.09286727469701031,4378513,5614075904,False
2,0.9067696573642584,0.9723616838455201,0.9506737440824509,0.09042047308041501,0.9105912595987319,0.9734620130979098,0.952898465670072,0.07659312394949108,4378513,5614075904,False
3,0.9162825609628971,0.9754392917339619,0.9559434732565514,0.07527094850173363,0.877825459608665,0.961667143381559,0.9343574815071547,0.08790958500825442,4378513,5614075904,False
4,0.9166487122957525,0.9751703372368447,0.9562649039121776,0.06697036784428818,0.9197538391901896,0.976632081545316,0.9579216734721111,0.062394527288583614,4378513,5614075904,False
5,0.9265768699921096,0.9784182493503277,0.9617508340340395,0.05763137225921336,0.925391327876311,0.9785772011830257,0.9609556129345528,0.05432671193893139,4378513,5614075904,False
6,0.9323419045943478,0.9803230487383329,0.9648283983652409,0.0513320565223694,0.9252092139079021,0.9783779657804049,0.9608952494767994,0.05141694385271807,4378513,5614075904,False
7,0.9363890966543784,0.9814226168852588,0.9670508928023852,0.04647840903355524,0.9187452930670517,0.9761399947679962,0.9574147050197308,0.05373440568263714,4378513,5614075904,False
8,0.9403444070082445,0.9828159258915827,0.9691172689199448,0.043055588236221895,0.916296587540553,0.9762100073007436,0.9560016118563139,0.05357702534932356,4378513,5614075904,False
9,0.9434544375309577,0.9835965725091789,0.9707877475481764,0.039784372999117926,0.9054980770899697,0.9715185348804181,0.9500966519117356,0.056043211084145776,4378513,5614075904,False
