,train_iou_score,train_accuracy,train_fscore,train_loss,val_iou_score,val_accuracy,val_fscore,val_loss,parameters,memory_used,freeze_encoder
0,0.6047660808723704,0.8434026699799759,0.7386341026196113,0.538544128720577,0.7837790170541178,0.9293676614761354,0.8771223093454653,0.3714647281628389,2416552,668991488,True
1,0.8270874275610998,0.9461827003038845,0.9045753077818798,0.2916520845431547,0.8528339003141111,0.9562049462245064,0.9197436628433374,0.21296015381813052,2416552,668991488,True
2,0.859882190823555,0.9571234721403855,0.9240212417565858,0.20615626871585846,0.8650152201835927,0.9593180142916168,0.9268660453649666,0.19823127411879027,2416552,668991488,True
3,0.8711246997117997,0.9606416133733896,0.930753264289636,0.17292651190207559,0.8784464173592055,0.9639632243376511,0.9346432341979101,0.1698272010454765,2416552,668991488,True
4,0.8767742847020806,0.9628922297404363,0.9339583963155746,0.15732833972344024,0.8727297083689618,0.9629946763698871,0.9311237931251525,0.15932164627772105,2416552,668991488,True
5,0.8839816657396462,0.9651107237889214,0.9380665662196963,0.14285986813215107,0.8811379441848168,0.9651265327747053,0.9360601409123491,0.14445409064109516,2416552,668991488,True
6,0.8857351197646214,0.9657521064464861,0.9390372702708614,0.13628592972572032,0.8877176779967086,0.9669416225873507,0.939965403996981,0.13164486334874081,2416552,668991488,True
7,0.887875347183301,0.9663742505587064,0.9402360274241519,0.130656965650045,0.8880325028529535,0.9670299291610719,0.9401139135544117,0.1345979135770064,2416552,668991488,True
8,0.8871018920953456,0.96593216749338,0.9397457356636341,0.12963052208607012,0.8848603505354662,0.9662430103008564,0.9383215892773408,0.13345212202805737,2416552,668991488,True
9,0.891748343522732,0.9675961090968204,0.9424484131427913,0.12504475506452412,0.8826185224147944,0.9654396588985737,0.936882401888187,0.1374588505579875,2416552,668991488,True
