,train_iou_score,train_accuracy,train_fscore,train_loss,val_iou_score,val_accuracy,val_fscore,val_loss,parameters,memory_used,freeze_encoder,inference_time
0,0.852911194165548,0.9489835103352865,0.9164197801173418,0.2559655034679106,0.8889020217789544,0.9671186870998807,0.9411509897973802,0.14889526036050588,31777361,17960009728,False,0.012109599995892496
1,0.8982195367758302,0.9683315493594642,0.9462110955139685,0.1193567809017225,0.9030968878004286,0.9707551863458421,0.9490388532479603,0.10909862650765313,31777361,17960009728,False,0.012109599995892496
2,0.9046443502108255,0.9704823850215165,0.9498468952617425,0.10255650610759341,0.8789508905675676,0.9643347263336182,0.9354804125097064,0.12640471590889826,31777361,17960009728,False,0.012109599995892496
3,0.9109655940669704,0.972593733634072,0.9533355914313215,0.09316414183583753,0.9024835593170589,0.9713055690129597,0.9487130906846788,0.1008157730102539,31777361,17960009728,False,0.012109599995892496
4,0.9112533235001841,0.972716076620694,0.9534847434909863,0.09149090037948786,0.914976911412345,0.9746334817674425,0.9555717839135064,0.08731274141205682,31777361,17960009728,False,0.012109599995892496
5,0.9184764472917578,0.9749822643981583,0.9574431838660402,0.08345775974207913,0.9157074656751422,0.9750357998741997,0.9559553166230521,0.08600309491157532,31777361,17960009728,False,0.012109599995892496
6,0.9156890799259318,0.9741692008643315,0.9559055559936611,0.0857672540620826,0.9188452064990996,0.9753114912245008,0.9576704468992022,0.08235943648550248,31777361,17960009728,False,0.012109599995892496
7,0.9085807738632993,0.9717379876936985,0.9519999280743217,0.09257255820022234,0.9120360712210338,0.9730141096644931,0.9539437194665271,0.08904290199279784,31777361,17960009728,False,0.012109599995892496
8,0.9141474181208115,0.9736208518346149,0.9550427164154492,0.08679880218944329,0.9242572552627988,0.9773131873872545,0.9605985813670687,0.07661999265352885,31777361,17960009728,False,0.012109599995892496
9,0.9170772241449904,0.9745427438582495,0.9566667079925535,0.08368766376341896,0.9259009990427232,0.9778404037157695,0.9614805546071794,0.07484506236182319,31777361,17960009728,False,0.012109599995892496
10,0.9208643265154168,0.9757528017307149,0.9587351871632982,0.0797815733942492,0.9262210395601063,0.9778904318809509,0.9616569479306538,0.07436162895626491,31777361,17960009728,False,0.012109599995892496
11,0.9216223064510302,0.9760032028987489,0.9591413249914674,0.07892555135419997,0.9174787435266706,0.975654515955183,0.9568983150853052,0.08303711149427626,31777361,17960009728,False,0.012109599995892496
12,0.9206928905399369,0.9757160099073389,0.9586368025034324,0.07979504952485535,0.9235077069865333,0.9768279724650912,0.9601885941293504,0.07691473762194316,31777361,17960009728,False,0.012109599995892496
13,0.9269357090708856,0.9777375692608707,0.9620241536491222,0.07349235847078518,0.9274577067957985,0.9784010516272652,0.9623389508989122,0.07295050223668417,31777361,17960009728,False,0.012109599995892496
14,0.926760186409128,0.977651478230268,0.9619458256096675,0.07361783926514373,0.9280900524722204,0.9786561926205953,0.9626705812083352,0.07227097286118402,31777361,17960009728,False,0.012109599995892496
15,0.9275838301099579,0.9778998418786063,0.9623894684616175,0.07275416727723745,0.9295878012975056,0.9789677129851446,0.9634705815050338,0.0707347657945421,31777361,17960009728,False,0.012109599995892496
16,0.9278061499540834,0.9780568309213924,0.9624813562152029,0.07249987673485415,0.9305667049354978,0.9793827268812391,0.9640002581808302,0.06970959570672777,31777361,17960009728,False,0.012109599995892496
17,0.9280158356688486,0.9780708181446998,0.9626011834747492,0.07225301347929856,0.9303898645771873,0.9793738259209527,0.9639115598466661,0.06988844937748381,31777361,17960009728,False,0.012109599995892496
18,0.9306547744520778,0.9789255240867875,0.964026952611989,0.06959228131962919,0.9316128359900581,0.979743758837382,0.9645642141501107,0.06861502925554912,31777361,17960009728,False,0.012109599995892496
19,0.923555211774234,0.9765945398944547,0.9601800475997485,0.07666748008508792,0.9209310710430145,0.9764591919051276,0.958781490723292,0.07927101519372727,31777361,17960009728,False,0.012109599995892496
