,train_iou_score,train_accuracy,train_fscore,train_loss,val_iou_score,val_accuracy,val_fscore,val_loss,parameters,memory_used,freeze_encoder,inference_time
0,0.8547752461899287,0.9394240639675624,0.9162047245036594,0.157576434913723,0.896350555949741,0.967390755812327,0.945311384068595,0.10648126734627618,21469544,7837057024,False,0.00903689997503534
1,0.910498072361124,0.9724248771009774,0.9530628700365963,0.09300411912216536,0.9124202595816718,0.9736206862661574,0.9541420605447557,0.08978028761015996,21469544,7837057024,False,0.00903689997503534
2,0.9130026211683777,0.9732586364636477,0.9544544377546202,0.08953062213700393,0.9151504966947767,0.9742631779776679,0.9556736846764882,0.08837158481280008,21469544,7837057024,False,0.00903689997503534
3,0.9186945961809704,0.9751164735048667,0.9575551446826976,0.08350660266547372,0.9075745575957829,0.9712181025081211,0.9515271882216136,0.09402219123310512,21469544,7837057024,False,0.00903689997503534
4,0.9197992230283806,0.9754996381956956,0.9581625180682918,0.08231280110348227,0.9211322532759771,0.9763003455268012,0.958919495344162,0.0803546110788981,21469544,7837057024,False,0.00903689997503534
5,0.9263856904260044,0.9775678933351891,0.9617363358366081,0.07540756189960178,0.9198912978172302,0.9755762947930231,0.9582332836257088,0.08111867308616638,21469544,7837057024,False,0.00903689997503534
6,0.9259016685102179,0.9774464875802229,0.961463252018238,0.07576782675995222,0.9196068048477173,0.9754600127538045,0.9580836097399394,0.08129945066240099,21469544,7837057024,False,0.00903689997503534
7,0.9273750549075249,0.9778177203803224,0.9622705976168314,0.07424442521457016,0.9245117240481907,0.9771162801318698,0.9607520401477813,0.07703605625364515,21469544,7837057024,False,0.00903689997503534
8,0.9305685505099681,0.9788823415493141,0.9639824183507899,0.0707043683391878,0.9243601626820035,0.9772057864401075,0.9606785178184509,0.07669170366393195,21469544,7837057024,False,0.00903689997503534
9,0.9317494103278235,0.9792898934462974,0.9646214555049768,0.06943928852848621,0.9269678658909268,0.978300114472707,0.9620756440692477,0.07452543907695346,21469544,7837057024,False,0.00903689997503534
10,0.9322125438986153,0.9794016213252625,0.9648745587502403,0.06894679110625693,0.915544331073761,0.9750763244099087,0.955886681874593,0.085877925157547,21469544,7837057024,False,0.00903689997503534
11,0.934679164968688,0.9802052385505587,0.9661962972290217,0.06654603522399373,0.9237617949644724,0.9770177271631029,0.9603212045298682,0.07728318373362222,21469544,7837057024,False,0.00903689997503534
12,0.9344570349002708,0.9801364424584924,0.966074653055476,0.06666956071195926,0.929864721165763,0.979044324821896,0.9636358718077341,0.07116155823071799,21469544,7837057024,False,0.00903689997503534
13,0.9345480772270552,0.980167264225839,0.9661326648175028,0.0664557095231681,0.9255199035008748,0.9776890344089931,0.9612842334641352,0.07533292637930977,21469544,7837057024,False,0.00903689997503534
14,0.9373009869422037,0.981010216406022,0.9676044980684918,0.06377704527186252,0.9298188090324403,0.9791274666786194,0.9636141856511434,0.07098564174440174,21469544,7837057024,False,0.00903689997503534
15,0.9391879021436321,0.9815947762851057,0.9686176358968364,0.06190016831474741,0.9298511975341374,0.9790444175402323,0.9636326531569163,0.0712185932530297,21469544,7837057024,False,0.00903689997503534
16,0.9388139062914354,0.9815002487993787,0.96841123391842,0.06220313461347558,0.9297349154949188,0.9787199364768133,0.9635565181573232,0.07128344641791448,21469544,7837057024,False,0.00903689997503534
17,0.9422948504316395,0.9825858206584536,0.9702549405481622,0.05871953361335842,0.9217424028449588,0.9758853713671365,0.9592507680257163,0.07889570130242242,21469544,7837057024,False,0.00903689997503534
18,0.9430289165727019,0.9827950877704842,0.9706545389931777,0.05797631713165634,0.9213968382941351,0.9758513503604467,0.9590632650587295,0.07929928104082742,21469544,7837057024,False,0.00903689997503534
19,0.9461356565870087,0.9837671641645759,0.9723027095027356,0.05484336340564421,0.936990910106235,0.9811567995283339,0.9674514002270169,0.06409471233685811,21469544,7837057024,False,0.00903689997503534
