,train_iou_score,train_accuracy,train_fscore,train_loss,val_iou_score,val_accuracy,val_fscore,val_loss,parameters,memory_used,freeze_encoder
0,0.270366555509659,0.49046622789823097,0.42383592976973616,0.608238724561838,0.31694264881885975,0.5020064574021562,0.4804551555560186,0.5814134329557418,4319859,5049942016,False
1,0.3610059487131926,0.5863308998254629,0.5290488107846334,0.5433444850719893,0.4004253957134028,0.6414601160929754,0.5708833187818526,0.5176384632404032,4319859,5049942016,False
2,0.4598982786903014,0.6981715697508593,0.627790501484504,0.48895637003275066,0.5011406540870667,0.7305095104070811,0.6666030471141524,0.46329333231999315,4319859,5049942016,False
3,0.5774876062686628,0.7959863772759073,0.7292637332127644,0.4319924402695437,0.6372640579938889,0.8440668766315168,0.7773008163158709,0.40932016877027644,4319859,5049942016,False
4,0.754552406187241,0.9094476057932926,0.857527296130474,0.3861093876453547,0.8160818929855638,0.9383681003863994,0.8979247957468032,0.3625702663109853,4319859,5049942016,False
5,0.8375929846213414,0.9463991660338182,0.9107699164977442,0.3402998986152502,0.8342254631794417,0.9451072307733389,0.9088583084253165,0.3257192568137095,4319859,5049942016,False
6,0.8608503020726718,0.9553113900698148,0.9247115540962951,0.30337411738359005,0.8505763010336802,0.951603916975168,0.918577491090848,0.2944103020888108,4319859,5049942016,False
7,0.8776021668544183,0.9616859601094173,0.9341804133011744,0.27306889112179106,0.8852484581562189,0.9648523789185744,0.9385667225489248,0.26434154120775366,4319859,5049942016,False
8,0.8868396775080607,0.9652423950342032,0.9394073406091104,0.24899481236934665,0.8676431465607423,0.9581629588053777,0.9286122941053832,0.24135636939452243,4319859,5049942016,False
9,0.8958387982386807,0.9681231608757606,0.9445511423624476,0.22602503574811494,0.8882310493634298,0.965725953762348,0.9403749555349349,0.21925482612389785,4319859,5049942016,False
