,train_iou_score,train_accuracy,train_fscore,train_loss,val_iou_score,val_accuracy,val_fscore,val_loss,parameters,memory_used,freeze_encoder
0,0.34226577327801627,0.4413328170776368,0.5058437184645579,0.47257497562811934,0.4466513653214161,0.6503842518879817,0.6154931542965084,0.41092733236459594,48888741,6387924992,False
1,0.691417362827521,0.8610132840963511,0.8109038334626418,0.3706595805975107,0.8779044541028828,0.962582725744981,0.9345775854129056,0.32501787520371955,48888741,6387924992,False
2,0.8811292270055185,0.9626196531149058,0.9362603322817727,0.2869273022963449,0.9010219711523789,0.9704028826493484,0.9476378858089448,0.2578570613494286,48888741,6387924992,False
3,0.8983714867096678,0.9690156441468458,0.9461338749298684,0.23317137475197133,0.8891537281183096,0.9659597048392662,0.9407115956911674,0.21439797030045443,48888741,6387924992,False
4,0.9117800558988868,0.9735336578809297,0.9536291257693217,0.19330538121553567,0.9093996458328687,0.9732166620401235,0.9521868779109073,0.18258184423813453,48888741,6387924992,False
5,0.9211442757111329,0.9764233552492582,0.9587635707396726,0.16215429512354046,0.91080553485797,0.9740292567473189,0.953031124976965,0.15405419468879694,48888741,6387924992,False
6,0.924242411668484,0.9776094693403974,0.9604280728560227,0.1399001123813482,0.914083073918636,0.9751803416472214,0.9548456324980807,0.1393081098794937,48888741,6387924992,False
7,0.9304222430174168,0.979591938165518,0.9638379239119017,0.12029074132442473,0.916219380039435,0.9756650649584256,0.9560191596929847,0.11946724125972162,48888741,6387924992,False
8,0.9341398454629459,0.9806044468512902,0.965824720951227,0.10394188990959753,0.9071116802784113,0.972302170900198,0.9509717695988142,0.11321048438549042,48888741,6387924992,False
9,0.9379162341356276,0.9818479739702667,0.967869182045643,0.09176509196941668,0.9134243566256306,0.975273847579956,0.9544081722314538,0.1006180208462935,48888741,6387924992,False
