,train_iou_score,train_accuracy,train_fscore,train_precision,train_recall,train_loss,val_iou_score,val_accuracy,val_fscore,val_precision,val_recall,val_loss,parameters,freeze_encoder,inference_time
0,0.8856546748070708,0.958386202514067,0.9345956143585481,0.9106557492408154,0.9711654732189743,0.18555572488053246,0.9128007116452072,0.9810343636593348,0.9541807728753965,0.9451721923452029,0.9633985480792087,0.10882091858017613,8642451,False,0.02175962117034942
1,0.9420962922418603,0.9851049824687943,0.9701074043422576,0.9685579043553723,0.9717341491303387,0.06886429314855516,0.9299112860585604,0.9851168142238134,0.9635459721927911,0.9669111110794713,0.9602281879371319,0.07701159279111405,8642451,False,0.02175962117034942
2,0.9524494860510487,0.9878472681638449,0.9756009103746628,0.9752751499049099,0.9759738620651164,0.051968897808662845,0.9453361504514455,0.9884166297778278,0.9718180542260827,0.9713782558978441,0.9722893918064278,0.05821964186681828,8642451,False,0.02175962117034942
3,0.958074586195203,0.9893277419010102,0.9785525782095786,0.9785919938947607,0.9785591019431684,0.04439582747461083,0.9492406072750897,0.989357265788065,0.9738876987511004,0.979413731836937,0.9684436304468503,0.05271372073133228,8642451,False,0.02175962117034942
4,0.9621735350889418,0.9903940583486271,0.9806914188607142,0.9807294589416796,0.9806830499927979,0.039429225771314386,0.9505089471037956,0.989480207503681,0.9745646883064595,0.9679078913070785,0.9813363980239546,0.050817889226994054,8642451,False,0.02175962117034942
5,0.9646521305662115,0.9910167022469584,0.9819861007446588,0.9820246385400653,0.9819776922099013,0.036456621361279834,0.9528073727245061,0.9900975806612364,0.9757715102652429,0.9785381085436109,0.9730364285724261,0.048118922072397145,8642451,False,0.02175962117034942
6,0.9668228992647548,0.9915804848361977,0.983111340193741,0.983117386672626,0.9831306239143148,0.03399416016196205,0.9568934062836875,0.9909624658839803,0.9779089781599986,0.9778031673229917,0.9780233913743999,0.0438866497765125,8642451,False,0.02175962117034942
7,0.9688918968424491,0.9921156246273822,0.9841823809618706,0.9841527977465756,0.9842332239326366,0.03174684897404418,0.9558753631484341,0.9906820587708915,0.9773807290574194,0.9718028903007506,0.9830397543772844,0.04467656998567177,8642451,False,0.02175962117034942
8,0.9704205954346263,0.9925219836251744,0.9849724910513946,0.9850029620731772,0.9849640517226446,0.0300861618982305,0.9603676871514657,0.991654956844491,0.9797412324959125,0.9761373358713067,0.9833877884166342,0.040060254049972745,8642451,False,0.02175962117034942
9,0.9712633544843374,0.9927297773169139,0.9854061643212982,0.9854906734777209,0.9853442879149048,0.029142881650640762,0.9563912170034057,0.9909071057615148,0.9776446063753587,0.983300999016829,0.9720702213300787,0.04390356154508993,8642451,False,0.02175962117034942
10,0.9725777619565634,0.9930683211562102,0.986084750571309,0.9861475388974522,0.986041164335561,0.027759129758891624,0.9612995167853126,0.9919034402135394,0.9802311012442682,0.9818473156069365,0.9786314233927661,0.038980112109385755,8642451,False,0.02175962117034942
11,0.9734621069894781,0.9932892442584662,0.9865404479140365,0.9865888574286229,0.9865135948211214,0.02682105150406499,0.9635149290863898,0.9923575579280581,0.9813792117884462,0.9808287612149414,0.9819436476264204,0.036735169484581755,8642451,False,0.02175962117034942
12,0.9744891327024553,0.9935498949525232,0.9870689838028628,0.9870864537050341,0.9870681217798205,0.02575394046703278,0.9659790564590777,0.9928736972137236,0.982664704322815,0.9815881621669715,0.983752814816757,0.034252244821736506,8642451,False,0.02175962117034942
13,0.975208742292875,0.9937305323088019,0.9874389354276573,0.9873761837411466,0.9875159632094894,0.024998842834800018,0.9673759601485562,0.9931634866016013,0.9833884868823309,0.9811390260575524,0.9856565569488098,0.03280742487437288,8642451,False,0.02175962117034942
14,0.9757376100261247,0.9938809792339907,0.987708333494784,0.9877332581530105,0.9876975742822772,0.024447485465301923,0.9652502679489027,0.9927258248060524,0.9822849094028208,0.9817845729035389,0.982791883844725,0.03491121362632429,8642451,False,0.02175962117034942
15,0.9761485506481975,0.9939853355888729,0.9879200839537041,0.9878923020304398,0.9879616406043226,0.02401615848892,0.9683044611568185,0.9933654590391778,0.9838648203393104,0.9814354483510405,0.9863133732701689,0.031848951964311215,8642451,False,0.02175962117034942
16,0.9773037168482762,0.9942702604049981,0.9885130294985197,0.9884863383089388,0.988552308019949,0.02284112327361901,0.9698637446887055,0.9937186711271044,0.9846738048002754,0.9849087898160375,0.9844435680080469,0.03028857707977296,8642451,False,0.02175962117034942
17,0.977754316480273,0.9943914671286597,0.988743662207848,0.9887126200879727,0.9887877978293157,0.02238021840564843,0.9682087797514148,0.9933632058157048,0.983818830738605,0.9843437680056396,0.9833029835996492,0.031914633764347576,8642451,False,0.02175962117034942
18,0.9780105780386048,0.9944542424065003,0.9888750865872811,0.9889223073493371,0.9888437996812537,0.022111989779564224,0.9700135949631811,0.9937493490501189,0.984755047610108,0.9861694423245713,0.9833508461294042,0.030095480697255747,8642451,False,0.02175962117034942
19,0.9786271099033792,0.9945945630140357,0.9891910092634404,0.9891429266871159,0.9892522707294454,0.02148529610575393,0.9689539452673687,0.9935359963229006,0.9842057110558093,0.9865513024195819,0.9818806304058557,0.03114556594633722,8642451,False,0.02175962117034942
