                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.58851,                0.91371,                0.99886,                 1.1853,                0.99976,                      1,                  0.995,                0.95523,                0.99976,                      1,                  0.995,                0.94967,                0.29336,                0.47101,                0.40394,                 1.0651,             0.00066542,             0.00066542,             0.00066542
                      2,                 0.5307,                0.85515,                0.37812,                 1.1452,                0.99991,                      1,                  0.995,                0.95498,                0.99991,                      1,                  0.995,                0.95523,                0.32447,                0.51301,                0.20068,                 1.1187,              0.0012661,              0.0012661,              0.0012661
                      3,                0.53913,                 0.8716,                0.33319,                 1.1567,                0.99987,                      1,                  0.995,                0.94479,                0.99987,                      1,                  0.995,                0.94751,                0.36588,                 0.5588,                 0.2188,                 1.1844,              0.0018009,              0.0018009,              0.0018009
                      4,                0.53634,                0.88305,                0.31815,                 1.1529,                0.99979,                      1,                  0.995,                0.93463,                0.99979,                      1,                  0.995,                0.93714,                0.38861,                0.58833,                0.20764,                 1.2085,               0.001703,               0.001703,               0.001703
                      5,                0.53407,                 0.8551,                0.31035,                 1.1544,                      1,                0.99782,                  0.995,                0.96783,                      1,                0.99782,                  0.995,                0.96185,                0.31673,                  0.491,                0.19712,                 1.1092,               0.001703,               0.001703,               0.001703
                      6,                0.51871,                 0.8482,                0.30553,                  1.141,                0.99878,                      1,                  0.995,                0.96706,                0.99878,                      1,                  0.995,                0.96143,                0.29543,                0.50304,                0.17372,                 1.0776,               0.001604,               0.001604,               0.001604
                      7,                 0.5081,                0.82787,                0.29404,                 1.1347,                0.94286,                0.99789,                0.97583,                 0.9387,                0.94286,                0.99789,                0.97583,                0.93997,                0.32361,                0.48222,                0.27488,                 1.1062,               0.001505,               0.001505,               0.001505
                      8,                0.49899,                0.80921,                0.28909,                 1.1223,                0.99989,                0.99895,                  0.995,                0.96417,                0.99989,                0.99895,                  0.995,                0.95778,                0.30632,                0.50859,                0.16626,                 1.0875,               0.001406,               0.001406,               0.001406
                      9,                0.49464,                0.81269,                0.28636,                 1.1231,                0.99978,                      1,                  0.995,                0.97009,                0.99978,                      1,                  0.995,                0.96816,                0.29899,                0.46096,                0.18339,                 1.0748,               0.001307,               0.001307,               0.001307
                     10,                0.48572,                0.79398,                   0.28,                 1.1141,                0.99976,                      1,                  0.995,                0.96657,                0.99976,                      1,                  0.995,                0.96183,                0.29937,                 0.4643,                  0.169,                 1.0783,               0.001208,               0.001208,               0.001208
                     11,                0.34771,                0.46615,                0.21829,                 1.0045,                0.99992,                      1,                  0.995,                0.97214,                0.99992,                      1,                  0.995,                0.97145,                0.28125,                0.43477,                0.16946,                 1.0521,               0.001109,               0.001109,               0.001109
                     12,                0.32682,                0.44516,                0.20921,                0.97384,                0.99992,                      1,                  0.995,                0.97884,                0.99992,                      1,                  0.995,                0.97856,                0.25937,                 0.3907,                 0.1527,                 1.0122,                0.00101,                0.00101,                0.00101
                     13,                0.30835,                0.42367,                0.19821,                0.95236,                0.99988,                      1,                  0.995,                0.98199,                0.99988,                      1,                  0.995,                 0.9801,                0.24037,                0.38109,                0.14464,                0.99231,               0.000911,               0.000911,               0.000911
                     14,                0.29709,                 0.4094,                0.18922,                0.93849,                0.99993,                      1,                  0.995,                 0.9853,                0.99993,                      1,                  0.995,                0.98237,                  0.235,                  0.371,                0.13995,                0.98041,               0.000812,               0.000812,               0.000812
                     15,                 0.2883,                0.39889,                0.18351,                0.92838,                0.99993,                      1,                  0.995,                0.98486,                0.99993,                      1,                  0.995,                0.98253,                0.23533,                0.38098,                0.14133,                0.98121,               0.000713,               0.000713,               0.000713
                     16,                0.28509,                0.39264,                0.18422,                0.91803,                0.99994,                      1,                  0.995,                0.98417,                0.99994,                      1,                  0.995,                0.98427,                0.23363,                0.35306,                0.13622,                0.97707,               0.000614,               0.000614,               0.000614
                     17,                0.27876,                0.38361,                0.17869,                0.90901,                0.99993,                      1,                  0.995,                0.98597,                0.99993,                      1,                  0.995,                0.98448,                0.21775,                0.34271,                0.13198,                0.95479,               0.000515,               0.000515,               0.000515
                     18,                0.26952,                 0.3685,                0.17326,                0.89894,                0.99994,                      1,                  0.995,                0.98667,                0.99994,                      1,                  0.995,                 0.9852,                0.21953,                0.33518,                0.12955,                0.95709,               0.000416,               0.000416,               0.000416
                     19,                  0.267,                0.36884,                0.17311,                0.89639,                0.99993,                      1,                  0.995,                 0.9878,                0.99993,                      1,                  0.995,                 0.9859,                0.20864,                0.33256,                0.12314,                0.94508,               0.000317,               0.000317,               0.000317
                     20,                 0.2595,                0.35714,                0.16891,                0.89079,                0.99993,                      1,                  0.995,                0.98759,                0.99993,                      1,                  0.995,                0.98607,                0.20755,                0.33052,                0.12571,                0.94202,               0.000218,               0.000218,               0.000218
